,time,N,TD,CH,MREG,AC
343,3.43000,4.06410,10.70464,1.03957,0.59472,0.05798
344,3.44000,4.07405,10.70639,1.04498,0.59759,0.05841
345,3.45000,4.08399,10.70814,1.05040,0.60047,0.05883
346,3.46000,4.09392,10.70987,1.05583,0.60336,0.05925
347,3.47000,4.10384,10.71159,1.06127,0.60625,0.05968
348,3.48000,4.11376,10.71330,1.06672,0.60914,0.06011
349,3.49000,4.12367,10.71499,1.07219,0.61204,0.06054
350,3.50000,4.13357,10.71668,1.07766,0.61494,0.06097
351,3.51000,4.14347,10.71835,1.08314,0.61785,0.06140
352,3.52000,4.15336,10.72001,1.08864,0.62076,0.06184
353,3.53000,4.16324,10.72165,1.09414,0.62367,0.06227
354,3.54000,4.17312,10.72329,1.09966,0.62659,0.06271
355,3.55000,4.18298,10.72491,1.10518,0.62951,0.06315
356,3.56000,4.19284,10.72651,1.11072,0.63244,0.06359
357,3.57000,4.20270,10.72811,1.11626,0.63537,0.06403
358,3.58000,4.21254,10.72969,1.12182,0.63830,0.06448
359,3.59000,4.22238,10.73126,1.12738,0.64124,0.06492
360,3.60000,4.23222,10.73282,1.13296,0.64418,0.06537
361,3.61000,4.24204,10.73436,1.13854,0.64713,0.06582
362,3.62000,4.25186,10.73589,1.14414,0.65008,0.06627
363,3.63000,4.26167,10.73741,1.14975,0.65303,0.06672
364,3.64000,4.27148,10.73892,1.15536,0.65599,0.06717
365,3.65000,4.28127,10.74041,1.16099,0.65895,0.06763
366,3.66000,4.29106,10.74189,1.16662,0.66191,0.06809
367,3.67000,4.30085,10.74335,1.17227,0.66488,0.06855
368,3.68000,4.31062,10.74481,1.17793,0.66786,0.06901
369,3.69000,4.32039,10.74624,1.18359,0.67083,0.06947
370,3.70000,4.33016,10.74767,1.18927,0.67381,0.06993
371,3.71000,4.33991,10.74908,1.19496,0.67680,0.07039
372,3.72000,4.34966,10.75048,1.20065,0.67979,0.07086
373,3.73000,4.35940,10.75186,1.20636,0.68278,0.07133
374,3.74000,4.36914,10.75323,1.21207,0.68577,0.07180
375,3.75000,4.37887,10.75459,1.21780,0.68877,0.07227
376,3.76000,4.38859,10.75593,1.22353,0.69178,0.07274
377,3.77000,4.39830,10.75726,1.22928,0.69478,0.07322
378,3.78000,4.40801,10.75858,1.23503,0.69779,0.07369
379,3.79000,4.41771,10.75988,1.24080,0.70081,0.07417
380,3.80000,4.42741,10.76117,1.24657,0.70383,0.07465
381,3.81000,4.43709,10.76244,1.25236,0.70685,0.07513
382,3.82000,4.44677,10.76370,1.25815,0.70987,0.07561
383,3.83000,4.45645,10.76495,1.26395,0.71290,0.07610
384,3.84000,4.46611,10.76618,1.26976,0.71593,0.07658
385,3.85000,4.47577,10.76740,1.27559,0.71897,0.07707
386,3.86000,4.48542,10.76860,1.28142,0.72201,0.07756
387,3.87000,4.49507,10.76979,1.28726,0.72505,0.07805
388,3.88000,4.50471,10.77096,1.29311,0.72810,0.07854
389,3.89000,4.51434,10.77212,1.29897,0.73115,0.07903
390,3.90000,4.52397,10.77327,1.30484,0.73420,0.07953
391,3.91000,4.53358,10.77440,1.31072,0.73726,0.08002
392,3.92000,4.54320,10.77552,1.31661,0.74032,0.08052
393,3.93000,4.55280,10.77662,1.32250,0.74339,0.08102
394,3.94000,4.56240,10.77770,1.32841,0.74645,0.08152
395,3.95000,4.57199,10.77878,1.33433,0.74952,0.08202
396,3.96000,4.58157,10.77983,1.34025,0.75260,0.08253
397,3.97000,4.59115,10.78088,1.34619,0.75568,0.08303
398,3.98000,4.60072,10.78191,1.35213,0.75876,0.08354
399,3.99000,4.61029,10.78292,1.35808,0.76184,0.08405
400,4.00000,4.61984,10.78392,1.36404,0.76493,0.08456
401,4.01000,4.62939,10.78490,1.37002,0.76802,0.08507
402,4.02000,4.63894,10.78587,1.37600,0.77112,0.08559
403,4.03000,4.64847,10.78682,1.38198,0.77422,0.08610
404,4.04000,4.65800,10.78776,1.38798,0.77732,0.08662
405,4.05000,4.66753,10.78868,1.39399,0.78042,0.08714
406,4.06000,4.67704,10.78959,1.40001,0.78353,0.08766
407,4.07000,4.68655,10.79048,1.40603,0.78664,0.08818
408,4.08000,4.69605,10.79136,1.41207,0.78976,0.08870
409,4.09000,4.70555,10.79222,1.41811,0.79288,0.08923
410,4.10000,4.71504,10.79307,1.42416,0.79600,0.08975
411,4.11000,4.72452,10.79390,1.43022,0.79912,0.09028
412,4.12000,4.73400,10.79472,1.43629,0.80225,0.09081
413,4.13000,4.74347,10.79552,1.44237,0.80538,0.09134
414,4.14000,4.75293,10.79630,1.44846,0.80852,0.09187
415,4.15000,4.76238,10.79707,1.45456,0.81165,0.09240
416,4.16000,4.77183,10.79782,1.46066,0.81479,0.09294
417,4.17000,4.78127,10.79856,1.46678,0.81794,0.09348
418,4.18000,4.79071,10.79928,1.47290,0.82109,0.09401
419,4.19000,4.80013,10.79999,1.47903,0.82424,0.09455
420,4.20000,4.80955,10.80068,1.48517,0.82739,0.09510
421,4.21000,4.81897,10.80135,1.49132,0.83054,0.09564
422,4.22000,4.82838,10.80201,1.49748,0.83370,0.09618
423,4.23000,4.83778,10.80266,1.50364,0.83687,0.09673
424,4.24000,4.84717,10.80328,1.50982,0.84003,0.09728
425,4.25000,4.85656,10.80389,1.51600,0.84320,0.09783
426,4.26000,4.86594,10.80449,1.52219,0.84637,0.09838
427,4.27000,4.87531,10.80507,1.52839,0.84955,0.09893
428,4.28000,4.88468,10.80563,1.53460,0.85272,0.09948
429,4.29000,4.89403,10.80618,1.54082,0.85591,0.10004
430,4.30000,4.90339,10.80671,1.54704,0.85909,0.10059
431,4.31000,4.91273,10.80723,1.55327,0.86228,0.10115
432,4.32000,4.92207,10.80772,1.55952,0.86547,0.10171
433,4.33000,4.93140,10.80821,1.56577,0.86866,0.10227
