,time,N,TD,CH
530,5.30000,4.48329,11.23778,1.04086
531,5.31000,4.49108,11.24226,1.04430
532,5.32000,4.49888,11.24676,1.04775
533,5.33000,4.50667,11.25126,1.05120
534,5.34000,4.51447,11.25577,1.05466
535,5.35000,4.52227,11.26029,1.05812
536,5.36000,4.53006,11.26482,1.06159
537,5.37000,4.53786,11.26935,1.06506
538,5.38000,4.54566,11.27389,1.06853
539,5.39000,4.55345,11.27844,1.07201
540,5.40000,4.56125,11.28300,1.07550
541,5.41000,4.56905,11.28756,1.07899
542,5.42000,4.57684,11.29214,1.08248
543,5.43000,4.58464,11.29672,1.08597
544,5.44000,4.59244,11.30131,1.08947
545,5.45000,4.60024,11.30590,1.09298
546,5.46000,4.60804,11.31051,1.09649
547,5.47000,4.61584,11.31512,1.10000
548,5.48000,4.62364,11.31974,1.10352
549,5.49000,4.63144,11.32437,1.10704
550,5.50000,4.63924,11.32900,1.11057
551,5.51000,4.64704,11.33364,1.11410
552,5.52000,4.65484,11.33829,1.11764
553,5.53000,4.66264,11.34295,1.12117
554,5.54000,4.67044,11.34762,1.12472
555,5.55000,4.67824,11.35229,1.12827
556,5.56000,4.68605,11.35698,1.13182
557,5.57000,4.69385,11.36167,1.13537
558,5.58000,4.70165,11.36636,1.13894
559,5.59000,4.70946,11.37107,1.14250
560,5.60000,4.71726,11.37578,1.14607
561,5.61000,4.72506,11.38050,1.14964
562,5.62000,4.73287,11.38523,1.15322
563,5.63000,4.74068,11.38997,1.15680
564,5.64000,4.74848,11.39471,1.16039
565,5.65000,4.75629,11.39947,1.16398
566,5.66000,4.76410,11.40423,1.16757
567,5.67000,4.77190,11.40900,1.17117
568,5.68000,4.77971,11.41377,1.17477
569,5.69000,4.78752,11.41855,1.17838
570,5.70000,4.79533,11.42335,1.18199
571,5.71000,4.80314,11.42815,1.18561
572,5.72000,4.81095,11.43295,1.18923
573,5.73000,4.81876,11.43777,1.19285
574,5.74000,4.82658,11.44259,1.19648
575,5.75000,4.83439,11.44742,1.20011
576,5.76000,4.84220,11.45226,1.20375
577,5.77000,4.85002,11.45710,1.20739
578,5.78000,4.85783,11.46196,1.21103
579,5.79000,4.86565,11.46682,1.21468
580,5.80000,4.87346,11.47169,1.21833
581,5.81000,4.88128,11.47657,1.22199
582,5.82000,4.88910,11.48145,1.22565
583,5.83000,4.89692,11.48635,1.22932
584,5.84000,4.90474,11.49125,1.23299
585,5.85000,4.91256,11.49615,1.23666
586,5.86000,4.92038,11.50107,1.24034
587,5.87000,4.92820,11.50600,1.24402
588,5.88000,4.93602,11.51093,1.24771
589,5.89000,4.94384,11.51587,1.25140
590,5.90000,4.95167,11.52082,1.25509
591,5.91000,4.95949,11.52577,1.25879
592,5.92000,4.96732,11.53073,1.26250
593,5.93000,4.97514,11.53571,1.26620
594,5.94000,4.98297,11.54068,1.26991
595,5.95000,4.99080,11.54567,1.27363
596,5.96000,4.99863,11.55067,1.27735
597,5.97000,5.00646,11.55567,1.28107
598,5.98000,5.01429,11.56068,1.28480
599,5.99000,5.02212,11.56570,1.28853
600,6.00000,5.02995,11.57072,1.29227
601,6.01000,5.03779,11.57576,1.29601
602,6.02000,5.04562,11.58080,1.29975
603,6.03000,5.05346,11.58585,1.30350
604,6.04000,5.06129,11.59091,1.30725
605,6.05000,5.06913,11.59597,1.31100
606,6.06000,5.07697,11.60104,1.31477
607,6.07000,5.08481,11.60613,1.31853
608,6.08000,5.09265,11.61121,1.32230
609,6.09000,5.10049,11.61631,1.32607
610,6.10000,5.10833,11.62141,1.32985
611,6.11000,5.11617,11.62653,1.33363
612,6.12000,5.12402,11.63165,1.33741
613,6.13000,5.13186,11.63678,1.34120
614,6.14000,5.13971,11.64191,1.34499
615,6.15000,5.14756,11.64705,1.34879
616,6.16000,5.15541,11.65221,1.35259
617,6.17000,5.16326,11.65737,1.35640
618,6.18000,5.17111,11.66253,1.36020
619,6.19000,5.17896,11.66771,1.36402
620,6.20000,5.18681,11.67289,1.36783
621,6.21000,5.19467,11.67808,1.37166
622,6.22000,5.20252,11.68328,1.37548
623,6.23000,5.21038,11.68849,1.37931
624,6.24000,5.21824,11.69370,1.38314
625,6.25000,5.22610,11.69892,1.38698
626,6.26000,5.23396,11.70415,1.39082
627,6.27000,5.24182,11.70939,1.39467
628,6.28000,5.24968,11.71464,1.39851
629,6.29000,5.25755,11.71989,1.40237
630,6.30000,5.26541,11.72515,1.40623
631,6.31000,5.27328,11.73042,1.41009
632,6.32000,5.28115,11.73570,1.41395
